LAMMPS (29 Aug 2024)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (14.3 14.3 14.3)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  192 atoms
  reading velocities ...
  192 velocities
  read_data CPU = 0.003 seconds
WARNING: Changed valency_val to valency_boc for X (src/REAXFF/reaxff_ffield.cpp:294)

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- Type Label Framework: https://doi.org/10.1021/acs.jpcb.3c08419
- pair reaxff command: doi:10.1016/j.parco.2011.08.005
- fix qeq/reaxff command: doi:10.1016/j.parco.2011.08.005
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 10 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 3 3 3
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair reaxff, perpetual
      attributes: half, newton off, ghost
      pair build: half/bin/ghost/newtoff
      stencil: full/ghost/bin/3d
      bin: standard
  (2) fix qeq/reaxff, perpetual, copy from (1)
      attributes: half, newton off
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 0.25
Per MPI rank memory allocation (min/avg/max) = 46.19 | 46.22 | 46.24 Mbytes
   Step          Time           Temp          PotEng         KinEng         TotEng         Press          Volume        Density    
     14300   3575           4156.3743     -26317.347      2366.3682     -23950.978     -481.42092      3115.2477      2.0497338    
     14400   3600           4156.2798     -26271.703      2366.3144     -23905.389     -53179.109      3115.8059      2.0493665    
     14500   3625           3779.5664     -26015.184      2151.8384     -23863.346      4140.7003      3116.2907      2.0490477    
     14600   3650           4339.5605     -26277.326      2470.6624     -23806.664     -40091.082      3116.7058      2.0487748    
     14700   3675           3873.0236     -25950.471      2205.0468     -23745.424     -28117.183      3117.0652      2.0485386    
     14800   3700           4579.4664     -26273.013      2607.2492     -23665.763     -20390.206      3117.4006      2.0483182    
     14900   3725           4601.3272     -26195.894      2619.6953     -23576.199     -21142.949      3117.7283      2.0481029    
     15000   3750           4473.3065     -26033.403      2546.8087     -23486.594     -27001.804      3118.0253      2.0479078    
     15100   3775           4618.8881     -26019.275      2629.6934     -23389.581     -12133.707      3118.2875      2.0477356    
     15200   3800           4635.6315     -25959.169      2639.2259     -23319.943     -41872.543      3118.5227      2.0475812    
     15300   3825           4152.5449     -25649.43       2364.188      -23285.242     -27361.014      3118.6845      2.0474749    
     15400   3850           4799.3879     -26006.032      2732.4581     -23273.573     -35887.574      3118.7722      2.0474174    
     15500   3875           4385.3791     -25805.692      2496.7486     -23308.943     -18488.038      3118.8146      2.0473895    
     15600   3900           4537.2157     -25980.588      2583.1944     -23397.394     -31619.842      3118.8149      2.0473894    
     15700   3925           4466.324      -26084.752      2542.8333     -23541.919     -34876.827      3118.7825      2.0474106    
     15800   3950           4264.7664     -26108.282      2428.0796     -23680.203     -24809.282      3118.7265      2.0474474    
     15900   3975           4064.9293     -26094.083      2314.3054     -23779.778     -54040.942      3118.631       2.0475101    
